type of credit institution,сredit institution name,date of loan issue,loan amount(RUB),loan repayment amount(RUB),loan amount owed(RUB),loan status,status date
Микрокредит,"ООО МКК """"СОЮЗ 5""""""",15-06-2021,RUB 12440,RUB 27296,RUB 0,Счет закрыт,10-03-2022
Микрокредит,"ООО МКК """"Микроклад""""""",01-06-2021,RUB 4000,RUB 0,RUB 10000,Просрочен,02-10-2022
Потребит.кредит,"ООО МФК """"ЧЕСТНОЕ СЛОВО""""""",22-05-2021,RUB 35000,RUB 5715,RUB 82001,Просрочен,18-05-2022
Микрокредит,"ООО МФК """"ЧЕСТНОЕ СЛОВО""""""",21-05-2021,RUB 9000,RUB 9090,RUB 0,Счет закрыт,21-05-2021
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,17-03-2021,RUB 2000,RUB 2771,RUB 0,Счет закрыт,01-05-2021
Микрокредит,"ООО МФК """"Мани Мен""""""",25-08-2020,RUB 35000,RUB 44157,RUB 0,Счет закрыт,28-09-2020
Микрокредит,"ООО МФК """"Мани Мен""""""",12-08-2020,RUB 3000,RUB 3390,RUB 0,Счет закрыт,25-08-2020
Микрокредит,"ООО МФК """"Мани Мен""""""",16-07-2020,RUB 3000,RUB 3131,RUB 0,Счет закрыт,18-07-2020
Микрокредит,"ООО МКК """"Микроклад""""""",20-06-2020,RUB 7000,RUB 9100,RUB 0,Счет закрыт,17-07-2020
Микрокредит,"ООО МФК """"Займер""""""",16-04-2020,RUB 5000,RUB 6100,RUB 0,Счет закрыт,08-05-2020
Микрокредит,"ООО МФК """"Мани Мен""""""",14-04-2020,RUB 17500,RUB 24066,RUB 0,Счет закрыт,25-05-2020
Микрокредит,"ООО МФК """"Займер""""""",08-04-2020,RUB 2000,RUB 2040,RUB 0,Счет закрыт,10-04-2020
Микрокредит,"ООО МФК """"Мани Мен""""""",07-04-2020,RUB 3000,RUB 3090,RUB 0,Счет закрыт,10-04-2020
Микрокредит,ООО МКК ТУРБОЗАЙМ,17-10-2019,RUB 5000,RUB 11296,RUB 0,Счет закрыт,15-02-2020
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,10-10-2019,RUB 3420,RUB 7793,RUB 0,Счет закрыт,15-02-2020
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",09-10-2019,RUB 18600,RUB 38556,RUB 0,Счет закрыт,18-01-2020
Микрокредит,"ООО МКК """"Микроклад""""""",23-08-2019,RUB 6000,RUB 16349,RUB 0,Счет закрыт,15-02-2020
Микрокредит,"ООО """"ПрофиМани""""""",19-08-2019,RUB 3000,RUB 8483,RUB 0,Счет закрыт,15-02-2020
Микрокредит,"ООО МФК """"Займер""""""",14-08-2019,RUB 7000,RUB 20543,RUB 0,Счет закрыт,15-02-2020
Микрокредит,"МФК """"Лайм-Займ"""" (ООО)""",08-07-2019,RUB 6700,RUB 9778,RUB 0,Счет закрыт,12-08-2019
Микрокредит,"ООО МФК """"Мани Мен""""""",08-05-2019,RUB 4000,RUB 6420,RUB 0,Счет закрыт,17-06-2019
Микрокредит,"ООО МФК """"Мани Мен""""""",04-05-2019,RUB 6700,RUB 7102,RUB 0,Счет закрыт,08-05-2019
Микрокредит,"ООО МФК """"Займер""""""",21-03-2019,RUB 5000,RUB 5150,RUB 0,Счет закрыт,23-03-2019
Микрокредит,"ООО МФК """"Займер""""""",16-03-2019,RUB 5000,RUB 5075,RUB 0,Счет закрыт,17-03-2019
Микрокредит,"ООО МФК """"Мани Мен""""""",27-01-2019,RUB 6000,RUB 6180,RUB 0,Счет закрыт,29-01-2019
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",27-01-2019,RUB 5000,RUB 5175,RUB 0,Счет закрыт,29-01-2019
Микрокредит,"ООО МФК """"Займер""""""",17-01-2019,RUB 5000,RUB 7612,RUB 0,Счет закрыт,25-01-2019
Микрокредит,"ООО МФК """"Мани Мен""""""",20-06-2021,RUB 30000,RUB 30000,RUB 0,Счет закрыт,20-06-2021
Микрокредит,"ООО МФК """"Мани Мен""""""",25-05-2021,RUB 30000,RUB 37500,RUB 0,Счет закрыт,19-06-2021
Микрокредит,"ООО МФК """"Займер""""""",25-05-2021,RUB 27000,RUB 33750,RUB 0,Счет закрыт,19-06-2021
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,24-05-2021,RUB 18000,RUB 22860,RUB 0,Счет закрыт,20-06-2021
Микрокредит,"ООО """"Юнона""""""",24-05-2021,RUB 3000,RUB 7500,RUB 0,Счет закрыт,28-12-2021
Микрокредит,"ООО МФК """"Займер""""""",20-05-2021,RUB 6000,RUB 6300,RUB 0,Счет закрыт,25-05-2021
Микрокредит,"ООО МКК """"СОЮЗ 5""""""",17-05-2021,RUB 9950,RUB 9950,RUB 0,Счет закрыт,22-05-2021
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,08-05-2021,RUB 3000,RUB 3420,RUB 0,Счет закрыт,22-05-2021
Микрокредит,ООО «МФК «ЮПИТЕР 6»,01-05-2021,RUB 500,RUB 605,RUB 0,Счет закрыт,22-05-2021
Микрокредит,ООО «МФК «ЮПИТЕР 6»,25-04-2021,RUB 3000,RUB 3030,RUB 0,Счет закрыт,25-04-2021
Микрокредит,"ООО МФК """"ЧЕСТНОЕ СЛОВО""""""",18-04-2021,RUB 15000,RUB 19950,RUB 0,Счет закрыт,21-05-2021
Микрокредит,ООО «МФК «ЮПИТЕР 6»,18-04-2021,RUB 2000,RUB 2100,RUB 0,Счет закрыт,23-04-2021
