тип_кредитной_организации,название_организации,дата_выдачи_кредита,сумма_выдачи,сумма_погашенного,сумма_задолженности,статус_кредита,дата_статуса
микрокредит,союз 5,2021-06-15,12440,27296,0,счет закрыт,2022-03-10
микрокредит,микроклад,2021-06-01,4000,0,10000,просрочен,2022-10-02
потребительский кредит,честное слово,2021-05-22,35000,5715,82001,просрочен,2022-05-18
микрокредит,честное слово,2021-05-21,9000,9090,0,счет закрыт,2021-05-21
микрокредит,микрокредитная,2021-03-17,2000,2771,0,счет закрыт,2021-05-01
микрокредит,мани мен,2020-08-25,35000,44157,0,счет закрыт,2020-09-28
микрокредит,мани мен,2020-08-12,3000,3390,0,счет закрыт,2020-08-25
микрокредит,мани мен,2020-07-16,3000,3131,0,счет закрыт,2020-07-18
микрокредит,микроклад,2020-06-20,7000,9100,0,счет закрыт,2020-07-17
микрокредит,займер,2020-04-16,5000,6100,0,счет закрыт,2020-05-08
микрокредит,мани мен,2020-04-14,17500,24066,0,счет закрыт,2020-05-25
микрокредит,займер,2020-04-08,2000,2040,0,счет закрыт,2020-04-10
микрокредит,мани мен,2020-04-07,3000,3090,0,счет закрыт,2020-04-10
микрокредит,турбозайм,2019-10-17,5000,11296,0,счет закрыт,2020-02-15
микрокредит,микрокредитная,2019-10-10,3420,7793,0,счет закрыт,2020-02-15
микрокредит,смсфинанс,2019-10-09,18600,38556,0,счет закрыт,2020-01-18
микрокредит,микроклад,2019-08-23,6000,16349,0,счет закрыт,2020-02-15
микрокредит,профимани,2019-08-19,3000,8483,0,счет закрыт,2020-02-15
микрокредит,займер,2019-08-14,7000,20543,0,счет закрыт,2020-02-15
микрокредит,лайм-займ,2019-07-08,6700,9778,0,счет закрыт,2019-08-12
микрокредит,мани мен,2019-05-08,4000,6420,0,счет закрыт,2019-06-17
микрокредит,мани мен,2019-05-04,6700,7102,0,счет закрыт,2019-05-08
микрокредит,займер,2019-03-21,5000,5150,0,счет закрыт,2019-03-23
микрокредит,займер,2019-03-16,5000,5075,0,счет закрыт,2019-03-17
микрокредит,мани мен,2019-01-27,6000,6180,0,счет закрыт,2019-01-29
микрокредит,смсфинанс,2019-01-27,5000,5175,0,счет закрыт,2019-01-29
микрокредит,займер,2019-01-17,5000,7612,0,счет закрыт,2019-01-25
микрокредит,мани мен,2021-06-20,30000,30000,0,счет закрыт,2021-06-20
